Screen ID,Screen Name,Description,Display / Fields,User Feedback,Status,,,,,,,,,,,,,,,,,,,,
2.6.2,Confirm Order,Order Summary before Post for order,"- Order Details
- Confirm Order button",,,,,,,,,,,,,,,,,,,,,,
2.6.3,Create Own Use Order,"Push order to SAP, SAP to return Sales Order No. 

SAP to return remaining material stock, if SO&DO creation fail due to insufficient stock. ETEN to prompt for Dealer cannot proceed.",[ to discuss with SAP on variables and format],,,,,,,,,,,,,,,,,,,,,,
3,Order List,"List of order based on search

Back Order - Dealer Cannot Cancel Order","- Filter (Order No, Date Range, Order type, Status)
- Order Type (DS, Normal, Clearance, Back-order, Own Use)
- Order No, 
- Order Date, 
- Status",,,,,,,,,,,,,,,,,,,,,,
3.1,Order Details,"Order Details
Cancel button only available within 30 minute from order placed datetime.
Return button only available within 7 days from delivery date

Dealer use ETEN order no and Invoice no as primary reference no. Sales Order number are used for internal SAP reference

DO will include ETEN order no","- Order No
- Order information (Pattern, Size, Qty, Price)
- DO (Show number only)
- Document: Invoice, CN
- Return Order No (if have Return)
- Status
- Confirm receive button
- Return button
- Cancel order button
– Reorder button",,,,,,,,,,,,,,,,,,,,,,
3.1.1,Order Receive & Rate,"Page to manually confirm order receive, and rate delivery service","- Confirm receive button
- 5 star delivery rating
- Remark",,,,,,,,,,,,,,,,,,,,,,
3.1.2,Reorder,Generate order list with all the products on the selected order. ,"- Tick box
- Pattern, size, qty
- Re-order button",,,,,,,,,,,,,,,,,,,,,,
3.2,Return,"Page that list all SKU from the selected order, check box for details to select items  & qty to return

- 7 days from ETA for return request","- List of SKU
- Check box
- Return selected button",,,,,,,,,,,,,,,,,,,,,,
3.2.1,Return Items,Return items confirmation page,"- List of selected SKU
- Invoice & DO No. Auto (from Order)
- Select Reason
- Remark
- Return Order button",,,,,,,,,,,,,,,,,,,,,,
3.3,Cancel Order,"Cancellation request form.

- Push cancellation request to backend admin for approval, disable SCM delivery update.","- Select Reason
- Remark
- Cancel Order button",,,,,,,,,,,,,,,,,,,,,,
4,Sales Forecast,"Actual vs Forecast
Value based on Dealer submitted value",,,,,,,,,,,,,,,,,,,,,,,
4.1,Generate Forecast,"Generate value based on last 6 months order, dealer to update value, this page will generate the Excel template for dealer to download and upload in the submission page",- Download Template,,,,,,,,,,,,,,,,,,,,,,
4.2,Submit Forecast,"Forecast submission page to upload template
Refer to forecast Template","- Upload excel button
- Submit button",,,,,,,,,,,,,,,,,,,,,,
